metric,value
n_patients,10000.0
egfr_mean_d,-7.819827750283654
egfr_q1_d,-9.44267274442371
egfr_q3_d,-5.677586987215813
egfr_pct_stage_changed,21.68
egfr_pct_more_advanced_2021,21.68
egfr_pct_boundary_crossed,21.68
ascvd_mean_d_risk_pp,0.32467532479534605
ascvd_q1_d_risk_pp,-1.2079840332682585
ascvd_q3_d_risk_pp,3.0677901334651594
ascvd_pct_cross_0_05,14.81
ascvd_n_gained_statin_0_05,1462.0
ascvd_n_lost_statin_0_05,19.0
ascvd_pct_cross_0_075,13.120000000000001
ascvd_n_gained_statin_0_075,1213.0
ascvd_n_lost_statin_0_075,99.0
ascvd_pct_cross_0_2,11.64
ascvd_n_gained_statin_0_2,355.0
ascvd_n_lost_statin_0_2,809.0
